data,tor,dystans,kat.,jeździec,waga,trener,mc,wygrana
 13.05.2018,Warszawa,2000 m,B, dż. T. Lukašek,61,W. Olkowski,1 / 7,20 000 zł
 24.09.2017,Warszawa,2600 m,G1 A, dż. T. Lukašek,55,W. Olkowski,1 / 5,126 000 zł
 27.08.2017,Warszawa,2800 m,L A, dż. T. Lukašek,54½,W. Olkowski,1 / 5,54 000 zł
 02.07.2017,Warszawa,2400 m,G1, dż. T. Lukašek,59,W. Olkowski,1 / 17,100 000 zł
 11.06.2017,Warszawa,2200 m,L A, dż. T. Lukašek,59,W. Olkowski,2 / 8,13 200 zł
 21.05.2017,Warszawa,1600 m,L A, dż. T. Lukašek,59,W. Olkowski,1 / 9,40 000 zł
 30.10.2016,Warszawa,1600 m,L A, dż. M. Srnec,57,W. Olkowski,1 / 5,33 000 zł
 02.10.2016,Warszawa,1400 m,L A, dż. S. Mazur,57,W. Olkowski,2 / 5,13 200 zł
 11.09.2016,Warszawa,1300 m,L A, dż. P. Krowicki,57,W. Olkowski,3 / 5,6 000 zł
 23.07.2016,Warszawa,1200 m,B, dż. T. Lukašek,56,W. Olkowski,1 / 5,21 000 zł
 03.07.2016,Warszawa,1000 m,II, dż. P. Krowicki,56,W. Olkowski,1 / 7,9 000 zł
 19.07.2020,Warszawa,2600 m,L A, dż. S. Mura,60,W. Szymczuk,11 / 13,0 zł
 01.07.2020,Wrocław,1907 m,III, k. dż. K. Kamińska,59,W. Szymczuk,1 / 11,7 000 zł
 07.06.2020,Warszawa,2000 m,III, k. dż. K. Kamińska,59,W. Szymczuk,2 / 9,3 000 zł
 13.05.2018,Warszawa,2000 m,B, k. dż. K. Grzybowski,61,A. Wyrzyk,5 / 7,1 000 zł
 24.09.2017,Warszawa,2600 m,G1 A, dż. M. Abik ,55,A. Wyrzyk,4 / 5,12 600 zł
 30.07.2017,Warszawa,2000 m,L A, dż. M. Abik ,54,A. Wyrzyk,1 / 3,33 000 zł
 02.07.2017,Warszawa,2400 m,G1, dż. M. Abik ,59,A. Wyrzyk,2 / 17,40 000 zł
 11.06.2017,Warszawa,2200 m,L A, dż. M. Abik ,59,A. Wyrzyk,1 / 8,33 000 zł
 21.05.2017,Warszawa,1600 m,L A, dż. M. Abik ,59,A. Wyrzyk,4 / 9,4 000 zł
 30.04.2017,Warszawa,1600 m,B, dż. M. Abik ,55,A. Wyrzyk,1 / 6,23 000 zł
 30.10.2016,Warszawa,1600 m,L A, dż. M. Abik ,57,A. Wyrzyk,3 / 5,6 600 zł
 02.10.2016,Warszawa,1300 m,II, dż. M. Abik ,57,A. Wyrzyk,1 / 8,9 000 zł
 31.07.2016,Warszawa,1600 m,, k. dż. M. Abik ,56,A. Wyrzyk,2 / 6,8 000 zł
 08.09.2019,Wrocław,5000 m,steeple, pr. dż. L. Sloup ,69,R. Bodlak,4 / 6,10 000 zł
 02.06.2019,Wrocław,5500 m,steeple, pr. dż. S. Ferhanov,69,R. Bodlak,2 / 8,32 000 zł
 05.08.2018,Wrocław,4200 m,steeple, pr. dż. S. Ferhanov,72,R. Bodlak,8 / 10,0 zł
 10.06.2018,Wrocław,5500 m,steeple, dż. N. Lovén,69,R. Bodlak,0 / 11,0 zł
 10.09.2017,Wrocław,5000 m,steeple, dż. N. Lovén,69,R. Bodlak,1 / 8,100 000 zł
 11.06.2017,Wrocław,5500 m,steeple, dż. N. Lovén,69,R. Bodlak,2 / 11,32 000 zł
 04.09.2016,Wrocław,5000 m,steeple, dż. N. Lovén,67,R. Bodlak,2 / 10,40 000 zł
 07.08.2016,Wrocław,4200 m,steeple, dż. N. Lovén,67,R. Bodlak,1 / 8,9 000 zł
 19.06.2016,Wrocław,5500 m,steeple, dż. N. Lovén,67,R. Bodlak,2 / 8,32 000 zł
 22.05.2016,Wrocław,4200 m,steeple, pr. dż. J. Spáčil ,67,R. Bodlak,7 / 13,0 zł
 06.09.2015,Wrocław,5000 m,steeple, k. dż. L. Matusky,64,R. Bodlak,1 / 12,100 000 zł
 09.08.2015,Wrocław,4200 m,steeple, k. dż. L. Matusky,65,R. Bodlak,1 / 4,9 000 zł
 28.06.2015,Wrocław,4000 m,steeple, k. dż. L. Matusky,64,R. Bodlak,1 / 7,9 000 zł
 07.06.2015,Wrocław,4000 m,steeple, dż. L. Matusky,64½,R. Bodlak,2 / 11,3 750 zł
 16.06.2022,Wrocław,3400 m,steeple, dż. M. Novák ,71,H. Kabelková,1 / 9,10 000 zł
 16.10.2021,Wrocław,5500 m,steeple, k. dż. P. Složil mł.,69,H. Kabelková,3 / 9,20 000 zł
 18.10.2020,Wrocław,5500 m,steeple, pr. dż. P. Složil mł.,69,H. Kabelková,4 / 12,16 000 zł
 13.09.2020,Wrocław,5000 m,steeple, pr. dż. P. Složil mł.,69,H. Kabelková,2 / 10,40 000 zł
 12.08.2020,Wrocław,4300 m,steeple, pr. dż. P. Složil mł.,70,H. Kabelková,2 / 14,4 000 zł
 08.09.2019,Wrocław,5000 m,steeple, pr. dż. P. Složil mł.,69,H. Kabelková,1 / 6,100 000 zł
 11.08.2019,Wrocław,4200 m,steeple, dż. M. Novák ,68,H. Kabelková,3 / 7,3 000 zł
 02.09.2018,Wrocław,5000 m,steeple, dż. N. Lovén,69,M. Borkowski,3 / 8,20 000 zł
 05.08.2018,Wrocław,4200 m,steeple, dż. N. Lovén,66,M. Borkowski,5 / 10,500 zł
 01.07.2018,Warszawa,2600 m,L A, dż. N. Hendzel,60,M. Borkowski,8 / 9,0 zł
 10.06.2018,Wrocław,5500 m,steeple, dż. J. Myška,69,M. Borkowski,6 / 11,8 000 zł
 13.05.2018,Wrocław,4200 m,steeple, st. u. P. Pałczyński,70,M. Borkowski,0 / 7,0 zł
 28.10.2017,Warszawa,3200 m,B, dż. N. Hendzel,57,M. Borkowski,1 / 11,23 000 zł
 10.09.2017,Wrocław,5000 m,steeple, dż. J. Myška,68,M. Borkowski,5 / 8,5 000 zł
 13.08.2017,Wrocław,4200 m,steeple, dż. N. Lovén,69,M. Borkowski,1 / 8,10 000 zł
 11.06.2017,Wrocław,5500 m,steeple, dż. J. Myška,67,M. Borkowski,1 / 11,80 000 zł
 21.05.2017,Wrocław,4200 m,steeple, dż. J. Myška,67,M. Borkowski,3 / 9,3 000 zł
 30.04.2017,Wrocław,3800 m,steeple, dż. J. Myška,66,M. Borkowski,2 / 9,3 600 zł
 22.05.2016,Wrocław,3600 m,steeple, pr. dż. J. Spáčil ,63,Č. Olehla,3 / 11,3 000 zł
 15.10.2017,Wrocław,2400 m,L A, dż. A. Reznikov,59,A. Zielińska,3 / 8,12 000 zł
 24.09.2017,Kolonia,1850 m,, F. Minarik,55,A. Zielińska,0 / 14,0 zł*
 24.09.2017,Kolonia,1850 m,, F. Minarik,55,A. Zielińska,7 / 14,0 zł*
 30.07.2017,Warszawa,2400 m,L A, dż. A. Reznikov,59,A. Zielińska,1 / 11,69 000 zł
 02.07.2017,Warszawa,2000 m,I, pr. dż. I. Wójcik,57,A. Zielińska,1 / 11,10 600 zł
 11.06.2017,Warszawa,2000 m,II, pr. dż. I. Wójcik,55,A. Zielińska,1 / 10,9 000 zł
 21.05.2017,Warszawa,1600 m,III, pr. dż. I. Wójcik,59,A. Zielińska,1 / 8,7 000 zł
 29.04.2017,Warszawa,1600 m,III, pr. dż. I. Wójcik,55,A. Zielińska,1 / 8,7 000 zł
 02.10.2021,Warszawa,1400 m,I, dż. S. Mura,60,K. Ziemiański,4 / 9,1 060 zł
 28.08.2021,Warszawa,1600 m,B, dż. M. Srnec,56,K. Ziemiański,4 / 9,2 000 zł
 15.08.2021,Warszawa,1300 m,B, dż. S. Vasyutov,56½,K. Ziemiański,8 / 9,0 zł
 04.07.2021,Warszawa,1600 m,L A, dż. S. Vasyutov,60,K. Ziemiański,9 / 11,0 zł
 05.06.2021,Warszawa,1400 m,B, dż. M. Srnec,60,K. Ziemiański,7 / 9,0 zł
